_id	GROUP_NAME	PRACTICE_ADDR_1	PRACTICE_ADDR_2	PRACTICE_CITY	PRACTICE_STATE	PRACTICE_ZIP	Latitude	Longitude
1	Picciotti, Isabella M MD	1 Allegheny Square		Pittsburgh	PA	15212	40.451948	-80.004895
2	UPMC Emergency Medicine Inc	1 Childrens Hospital Drive	4401 Penn Avenue	Pittsburgh	PA	15224	40.467315	-79.95359
3	Hoover Medical Associates PC	100 Delafield Rd	Suite 312	Pittsburgh	PA	15215	40.490244	-79.895719
4	Partners in Nephrology and Endocrinology	100 Delafield Road	100 MAB Suite 212	Pittsburgh	PA	15215	40.506845	-79.908076
5	Bahl and Bahl Med Assoc	100 Delafield Road, Ste 103		Pittsburgh	PA	15215	40.490244	-79.895719
6	Zioncheck, Roger MD PC	100 Eighth Ave		McKeesport	PA	15132	40.347704	-79.866961
7	Premier Medical Associates CRNP	100 Forest Hills Plaza		Pittsburgh	PA	15221	40.435067	-79.861938
8	Heritage Valley Convenient Care Retail	100 Hazel Lane		Sewickley	PA	15143	40.542415	-80.192742
9	Zioncheck, Roger MD PC	100 Ninth Ave		McKeesport	PA	15132	40.347396	-79.867398
10	University of Pittsburgh Physicians	100 North Bellfield		Pittsburgh	PA	15213	40.447147	-79.951826
11	Health Associates of Western PA PC	100 South Jackson	5th Floor	Pittsburgh	PA	15202	40.494569	-80.060335
12	North Hills Internal Medicine	100 South Jackson Avenue	3rd Floor	Pittsburgh	PA	15202	40.494569	-80.060335
13	Yeasted, George A MD	1000 Bower Hill Road		Pittsburgh	PA	15243	40.378099	-80.06661
14	Montour Fam Healthcare	1000 Cliff Mine Road	Suite 110	Pittsburgh	PA	15275	40.457664	-80.194634
15	JRMC Specialty Practice Wound Care	1000 Higbee Drive	Suite 101	Bethel Park	PA	15102	40.337675	-80.021363
16	CCP Gil	1000 Infinity Drive	First Floor	Monroeville	PA	15146	40.42118	-79.788102
17	Premier Medical  Associates Family  Practice	1000 Integrity Drive	Suite 100	Pittsburgh	PA	15235	40.458341	-79.824722
18	Chris T ODonnell MD PC	1000 Masonic Drive		Sewickley	PA	15143	40.528404	-80.143566
19	Circulatory Center of PA Inc	1000 Stonewood Drive	Suite 210	Wexford	PA	15090	40.642484	-80.065567
20	Addiction and Recovery Health Services	1000 West View Park Drive	Suite 1	Pittsburgh	PA	15229	40.516008	-80.037483
21	Weigles Hill Family Medicine	1001 Weigles Hill Road		Elizabeth	PA	15037	40.256259	-79.853304
22	Mercy Behavioral Health	1004 Arch Street		Pittsburgh	PA	15212	40.453936	-80.00869
23	Colonnades Family Medicine	101 Bradford Road	Suite 220	Wexford	PA	15090	40.642988	-80.069097
24	Mercy Behavioral Health	101 Station Square Drive		Pittsburgh	PA	15219	40.432446	-80.004039
25	University of Pittsburgh Physicians	1011 Bingham Street		Pittsburgh	PA	15203	40.429746	-79.988099
26	Preferred Primary Care Physicians	102 Broadway Avenue		Carnegie	PA	15106	40.409413	-80.087205
